股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
3363,上詮,OTC,【散戶套牢資 / 留意斷頭】,504.0,589.0,16.87,437.0,-13.29
3374,精材,OTC,【主力點火資】,358.5,403.0,12.41,252.0,-29.71
3455,由田,OTC,【散戶套牢資 / 留意斷頭】,200.0,201.0,0.5,150.5,-24.75
3479,安勤,OTC,【主力點火資】,137.5,153.5,11.64,127.0,-7.64
3491,昇達科,OTC,【主力點火資】,1347.91,1300.0,-3.55,923.0,-31.52
3498,陽程,OTC,【主力點火資】,117.0,114.5,-2.14,86.3,-26.24
3551,世禾,OTC,【主力點火資】,192.5,187.0,-2.86,155.0,-19.48
3615,安可,OTC,【主力點火資】,41.2,38.7,-6.07,30.6,-25.73
3680,家登,OTC,【主力點火資】,464.5,480.5,3.44,369.5,-20.45
3707,漢磊,OTC,【散戶套牢資 / 留意斷頭】,68.7,65.3,-4.95,48.75,-29.04
3709,鑫聯大投控,OTC,一般資增,74.0,74.4,0.54,66.0,-10.81
4114,健喬,OTC,一般資增,29.6,29.35,-0.84,29.05,-1.86
4147,中裕,OTC,【主力點火資】,59.9,59.0,-1.5,56.2,-6.18
4167,松瑞藥,OTC,【主力點火資】,18.52,18.48,-0.24,16.7,-9.83
4973,廣穎,OTC,【散戶套牢資 / 留意斷頭】,141.0,142.5,1.06,117.5,-16.67
5009,榮剛,OTC,【主力點火資】,33.5,34.1,1.79,31.5,-5.97
5289,宜鼎,OTC,【散戶套牢資 / 留意斷頭】,1275.0,1370.0,7.45,1180.0,-7.45
5314,世紀*,OTC,一般資增,59.2,57.0,-3.72,47.25,-20.19
5328,華容,OTC,【主力點火資】,60.3,67.0,11.11,58.3,-3.32
5347,世界,OTC,【主力點火資】,169.0,168.5,-0.3,138.0,-18.34
5392,能率,OTC,【散戶套牢資 / 留意斷頭】,42.6,41.55,-2.46,34.4,-19.25
